conv_id,utterance_idx,context,prompt,speaker_idx,utterance,selfeval,tags
hit:8_conv:16,3,prepared,I had my entire house boarded up when the hurricane came.,4,No luckily the house was ok.,3|4|5_5|5|5,
hit:8_conv:16,4,prepared,I had my entire house boarded up when the hurricane came.,8,That is great. I would have been scared to death. Was it recent?,3|4|5_5|5|5,
hit:9_conv:19,1,embarrassed,one time when I was in preschool_comma_ I had to write on the board. when I got up_comma_ my pants fell down in front of the class_comma_ that embarassed me,10,Once when I was in preschool_comma_ my pants fell down in front of the whole class_comma_ I was so embarassed,5|5|5_4|4|3,
hit:9_conv:19,2,embarrassed,one time when I was in preschool_comma_ I had to write on the board. when I got up_comma_ my pants fell down in front of the class_comma_ that embarassed me,12,haha yeah that would be very bad !,5|5|5_4|4|3,
hit:9_conv:19,3,embarrassed,one time when I was in preschool_comma_ I had to write on the board. when I got up_comma_ my pants fell down in front of the class_comma_ that embarassed me,10,It was_comma_ I almost cried cause everyone was laughing at me,5|5|5_4|4|3,
hit:9_conv:19,4,embarrassed,one time when I was in preschool_comma_ I had to write on the board. when I got up_comma_ my pants fell down in front of the class_comma_ that embarassed me,12,Oh no _comma_ sorry to hear that happened to you :(,5|5|5_4|4|3,
hit:10_conv:21,1,angry,I am so upset and mad. I cant believe what has happened!,14,I never thought things would go like this.,2|2|1_2|2|5,
hit:10_conv:21,2,angry,I am so upset and mad. I cant believe what has happened!,13,What happened for you to feel that way?,2|2|1_2|2|5,
hit:10_conv:21,3,angry,I am so upset and mad. I cant believe what has happened!,14,I was at the beach and a hurricane changed track and was coming straight at us. My boyfriend didnt want to leave because we were on the second day only of our vacation.,2|2|1_2|2|5,
hit:10_conv:21,4,angry,I am so upset and mad. I cant believe what has happened!,13,Oh that does sound terrible. What did you guys decide to do?,2|2|1_2|2|5,
hit:10_conv:21,5,angry,I am so upset and mad. I cant believe what has happened!,14,Well we ended up leaving I was too scared to stay and was really upset.,2|2|1_2|2|5,
hit:11_conv:22,1,afraid,Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,15,What a difference a year makes. Last year one evening my family was at home when a tree fell on the house and broke through the ceiling.,5|5|5_4|5|5,
hit:11_conv:22,2,afraid,Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,16,That's very scary. I hope no one got hurt.,5|5|5_4|5|5,
hit:11_conv:22,3,afraid,Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,15,We were OK_comma_ though the tree broke through only a few feet away from my daughter.,5|5|5_4|5|5,
hit:11_conv:22,4,afraid,Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,16,So happy everyone was fine!! Everything else can be fixed.,5|5|5_4|5|5,
hit:11_conv:22,5,afraid,Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,15,Indeed. We were out of the house for five months while repairs were being done_comma_ but now the house is better than ever.,5|5|5_4|5|5,
hit:11_conv:22,6,afraid,Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,16,So good to hear. Might want to trim some trees lol,5|5|5_4|5|5,
hit:11_conv:23,1,excited,Last week_comma_ I was watching the world cup_comma_ and watched croatia win from russia,16,So last week we were watching the world cup_comma_ and lo and behold_comma_ Croatia beat the host country_comma_ Russia,4|5|5_5|5|5,
hit:11_conv:23,2,excited,Last week_comma_ I was watching the world cup_comma_ and watched croatia win from russia,15,I saw that game. They won on penalty kicks!,4|5|5_5|5|5,
hit:11_conv:23,3,excited,Last week_comma_ I was watching the world cup_comma_ and watched croatia win from russia,16,Yes! Both countries were not about to let each other win,4|5|5_5|5|5,
hit:11_conv:23,4,excited,Last week_comma_ I was watching the world cup_comma_ and watched croatia win from russia,15,It was very tense. The other game with England and Sweden was not nearly as nerve-wracking.,4|5|5_5|5|5,
hit:11_conv:23,5,excited,Last week_comma_ I was watching the world cup_comma_ and watched croatia win from russia,16,You're right. I prefer nerve-wrecking matches. When both teams are great_comma_ the tension really builds.,4|5|5_5|5|5,
hit:12_conv:24,1,annoyed,I have someone always asking me questions about how to use mobile.,7,Hi_comma_ I have a co work always asking me questions about how to use her mobile. It is almost always the same questions.,5|5|5_4|5|5,<HI>
hit:12_conv:24,2,annoyed,I have someone always asking me questions about how to use mobile.,17,It must be so frustrating to have to answer the same thing over and over. Is she older?,5|5|5_4|5|5,
hit:12_conv:24,3,annoyed,I have someone always asking me questions about how to use mobile.,7,Yes_comma_ she is. She is telling that all the cell phone that she has been using have deleting her contacts.,5|5|5_4|5|5,
hit:12_conv:24,4,annoyed,I have someone always asking me questions about how to use mobile.,17,My aunt does the same thing! I think what she is doing is accidentally deleting texts_comma_ and she doesn't understand how to check her contacts list. What do you think is happening with your co-worker?,5|5|5_4|5|5,
hit:12_conv:25,1,angry,I spent all weekend working on my truck to fix a miss in the engine. Despite spending over $200 in parts_comma_ it didn't do a thing to fix the miss.,17,I worked on my truck all weekend. Spent $215 on parts and a special tool. Still did not fix the miss in the engine.,4|5|5_5|5|5,
hit:12_conv:25,2,angry,I spent all weekend working on my truck to fix a miss in the engine. Despite spending over $200 in parts_comma_ it didn't do a thing to fix the miss.,7,What is the problem with the engine?,4|5|5_5|5|5,
hit:12_conv:25,3,angry,I spent all weekend working on my truck to fix a miss in the engine. Despite spending over $200 in parts_comma_ it didn't do a thing to fix the miss.,17,It has a miss. Sometimes when you are driving it sputters and jerks and barely has any power. Other times it drives just fine. I have replaced so many things on it and nothing makes a difference for very long.,4|5|5_5|5|5,
hit:12_conv:25,4,angry,I spent all weekend working on my truck to fix a miss in the engine. Despite spending over $200 in parts_comma_ it didn't do a thing to fix the miss.,7,Sorry to hear that. I hope you find what is the problem with the engine.,4|5|5_5|5|5,
hit:13_conv:26,1,lonely,A few years ago_comma_ my marriage broke up_comma_ and I found myself living alone for the first time in my life. Though I eventually grew accustomed to the solitude_comma_ it took a while to get used to it.,15,I found myself divorced a few years ago_comma_ and for the first time in my life_comma_ I was living alone.,3|3|3_4|4|5,
hit:13_conv:26,2,lonely,A few years ago_comma_ my marriage broke up_comma_ and I found myself living alone for the first time in my life. Though I eventually grew accustomed to the solitude_comma_ it took a while to get used to it.,18,I felt sad and depressed due to my insecurities and felt rejected from society,3|3|3_4|4|5,
hit:13_conv:26,3,lonely,A few years ago_comma_ my marriage broke up_comma_ and I found myself living alone for the first time in my life. Though I eventually grew accustomed to the solitude_comma_ it took a while to get used to it.,15,Yes_comma_ I felt that way for a while. But then I grew used to the solitude.,3|3|3_4|4|5,
hit:13_conv:26,4,lonely,A few years ago_comma_ my marriage broke up_comma_ and I found myself living alone for the first time in my life. Though I eventually grew accustomed to the solitude_comma_ it took a while to get used to it.,18,The problem is I don't think you can grew out of my specific insecurity.,3|3|3_4|4|5,
hit:13_conv:27,1,proud,I felt proud when I had accomplished a dream that I wanted to do for a long time. ,18,I felt proud when I had accomplished a dream that I wanted to do for a long time. It was absailing!!,4|4|5_3|3|3,
hit:13_conv:27,2,proud,I felt proud when I had accomplished a dream that I wanted to do for a long time. ,15,I'm not familiar with abseiling_comma_ but I'm glad that you felt good about it.,4|4|5_3|3|3,
hit:13_conv:27,3,proud,I felt proud when I had accomplished a dream that I wanted to do for a long time. ,18,absailing_comma_ its when you rappeling down a building. What have you down that amazing?,4|4|5_3|3|3,
hit:13_conv:27,4,proud,I felt proud when I had accomplished a dream that I wanted to do for a long time. ,15,Oh_comma_ I see. No_comma_ I've never done that.,4|4|5_3|3|3,
hit:13_conv:27,5,proud,I felt proud when I had accomplished a dream that I wanted to do for a long time. ,18,so what have you done?,4|4|5_3|3|3,
hit:14_conv:28,1,sentimental,When I spend time with my father outside by the fire when we are camping.,19,Hello,4|5|4_4|5|5,<HI> <UNIGRAM>
hit:14_conv:28,2,sentimental,When I spend time with my father outside by the fire when we are camping.,20,Hello! I am in such a good mood since I got my new home.,4|5|4_4|5|5,<HI>
hit:14_conv:28,3,sentimental,When I spend time with my father outside by the fire when we are camping.,19,Funny - we just built a house where we used to go camping when I was a kid. ,4|5|4_4|5|5,
hit:14_conv:28,4,sentimental,When I spend time with my father outside by the fire when we are camping.,20,I have a ton of backyard space that we have plans for. Camping would be a fun one.,4|5|4_4|5|5,
hit:14_conv:28,5,sentimental,When I spend time with my father outside by the fire when we are camping.,19,That's wonderful. Do you have any plans to have a fire? ,4|5|4_4|5|5,
hit:14_conv:28,6,sentimental,When I spend time with my father outside by the fire when we are camping.,20,I want to look in to getting a nice fire pit for the house.,4|5|4_4|5|5,
hit:14_conv:29,1,joyful,I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.,20,Planning out my new home has turned out to be a blast!,4|5|5_4|5|4,
hit:14_conv:29,2,joyful,I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.,19,What kind of house are you building? ,4|5|5_4|5|4,
hit:14_conv:29,3,joyful,I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.,20,I just moved in so it is already built. Just working on planning out decorating and appliances and such.,4|5|5_4|5|4,
hit:14_conv:29,4,joyful,I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.,19,That sounds great. What are you most excited for? ,4|5|5_4|5|4,
hit:14_conv:29,5,joyful,I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.,20,I think I am most excited for all the space I have. I can have friends over and not feel cramped.,4|5|5_4|5|4,
hit:15_conv:30,1,ashamed,I went to a party and it was real bad. ,21,I never took a drink before and my friends were all over me to take a drink,5|5|5_5|5|5,
hit:15_conv:30,2,ashamed,I went to a party and it was real bad. ,22,Why did you feel guilty for taking a drink?,5|5|5_5|5|5,
hit:15_conv:30,3,ashamed,I went to a party and it was real bad. ,21,It was not my thing and the moment I took I did wrong. Later in the night I started feeling bad.,5|5|5_5|5|5,
hit:15_conv:30,4,ashamed,I went to a party and it was real bad. ,22,I can understand. I am not a big drinker myself_comma_ but I wouldn't feel guilty about it.  Not unless you promised someone you wouldn't drink.,5|5|5_5|5|5,
hit:15_conv:30,5,ashamed,I went to a party and it was real bad. ,21,Yeah I did to my mum and dad...When I started vomiting I mess my dress and mum knew. ,5|5|5_5|5|5,
hit:15_conv:30,6,ashamed,I went to a party and it was real bad. ,22,Oh yea I can understand that then... Well I am sure you learned your lesson_comma_ right?,5|5|5_5|5|5,
hit:15_conv:30,7,ashamed,I went to a party and it was real bad. ,21,Yeah bad...anyway bye...Thanks for the chat. ,5|5|5_5|5|5,
hit:15_conv:31,1,guilty,After learning my husband of only 4 weeks was cheating on me I did the same to him. Not only was it before our marriage but I had found texts of him contacting her for sex after. To make it worse I slept with a close family friend of his.,22,I was only married for 4 weeks when I learned my husband was having an affair and ongoing after the wedding. I got him back by sleeping with a close family friend. I felt guilty and ashamed because it was out of character.,5|5|5_5|5|5,
hit:15_conv:31,2,guilty,After learning my husband of only 4 weeks was cheating on me I did the same to him. Not only was it before our marriage but I had found texts of him contacting her for sex after. To make it worse I slept with a close family friend of his.,21,Yeah that sounds really sad. I am sorry for what you went through. ,5|5|5_5|5|5,
hit:15_conv:31,3,guilty,After learning my husband of only 4 weeks was cheating on me I did the same to him. Not only was it before our marriage but I had found texts of him contacting her for sex after. To make it worse I slept with a close family friend of his.,22,Well I choose to stay and work it out_comma_ but I never told him. It has been 3 years.,5|5|5_5|5|5,
hit:15_conv:31,4,guilty,After learning my husband of only 4 weeks was cheating on me I did the same to him. Not only was it before our marriage but I had found texts of him contacting her for sex after. To make it worse I slept with a close family friend of his.,21,Yeah maybe that was a good decision that you made. ,5|5|5_5|5|5,
hit:15_conv:31,5,guilty,After learning my husband of only 4 weeks was cheating on me I did the same to him. Not only was it before our marriage but I had found texts of him contacting her for sex after. To make it worse I slept with a close family friend of his.,22,Well I thought I would be feel better but because I am not the cheating kind_comma_ I still feel guilty.,5|5|5_5|5|5,
hit:16_conv:32,1,surprised,when I was younger_comma_ my parents picked me up from work with a new car_comma_ which really surprised me_comma_ I was so excited to have my own car!,10,When I was working my first job_comma_ my parents picked me up in my new car_comma_ I was very surprised_comma_ i thought I was gonna have to buy my own car,4|4|33_3|5|5,
hit:16_conv:32,2,surprised,when I was younger_comma_ my parents picked me up from work with a new car_comma_ which really surprised me_comma_ I was so excited to have my own car!,23,wow_comma_ that was so awesome of them!,4|4|33_3|5|5,
hit:16_conv:32,3,surprised,when I was younger_comma_ my parents picked me up from work with a new car_comma_ which really surprised me_comma_ I was so excited to have my own car!,10,Yeah it really was_comma_ I am still very thankful of them,4|4|33_3|5|5,
hit:16_conv:32,4,surprised,when I was younger_comma_ my parents picked me up from work with a new car_comma_ which really surprised me_comma_ I was so excited to have my own car!,23,I had to buy my first car and it wasn't until I was 21 that I could afford it. ,4|4|33_3|5|5,
hit:16_conv:33,1,nostalgic,I get wistful remembering my high school days.,23,I'm nearing 40 and I find myself thinking a lot about my teen years and early twenties. The friends I had then and the fun we had.,3|5|5_4|4|33,
hit:16_conv:33,2,nostalgic,I get wistful remembering my high school days.,10,That is where I am still at_comma_ I am scared I will have regrets when I get older,3|5|5_4|4|33,
hit:16_conv:33,3,nostalgic,I get wistful remembering my high school days.,23,I don',3|5|5_4|4|33,
hit:16_conv:33,4,nostalgic,I get wistful remembering my high school days.,10,That is good_comma_ I am glad you have no regrets!,3|5|5_4|4|33,
hit:17_conv:34,1,confident,Last year I placed an article in an academic journal. This was the first time in a while that I had been able to do this_comma_ and it made me feel better about myself.,15,A year ago I spent a lot of time doing research for an article. Then a top journal accepted it for publication.,5|5|5_3|3|4,
hit:17_conv:34,2,confident,Last year I placed an article in an academic journal. This was the first time in a while that I had been able to do this_comma_ and it made me feel better about myself.,24,what was the topic,5|5|5_3|3|4,
hit:17_conv:34,3,confident,Last year I placed an article in an academic journal. This was the first time in a while that I had been able to do this_comma_ and it made me feel better about myself.,15,It was about the medieval poet Geoffrey Chaucer.,5|5|5_3|3|4,
hit:17_conv:34,4,confident,Last year I placed an article in an academic journal. This was the first time in a while that I had been able to do this_comma_ and it made me feel better about myself.,24,I'm not familiar with him where is he from,5|5|5_3|3|4,
hit:17_conv:34,5,confident,Last year I placed an article in an academic journal. This was the first time in a while that I had been able to do this_comma_ and it made me feel better about myself.,15,He was an English poet in the fourteenth century_comma_,5|5|5_3|3|4,
hit:17_conv:34,6,confident,Last year I placed an article in an academic journal. This was the first time in a while that I had been able to do this_comma_ and it made me feel better about myself.,24,and how did you learn about him,5|5|5_3|3|4,
hit:17_conv:35,1,annoyed,I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat itu p,24,Do you have any irritating coworkers?,3|3|4_5|5|5,
hit:17_conv:35,2,annoyed,I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat itu p,15,Yes_comma_ I think that everyone does! What about you?,3|3|4_5|5|5,
hit:17_conv:35,3,annoyed,I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat itu p,24,yes a few that drive me nuts. the janitor is the worst,3|3|4_5|5|5,
hit:17_conv:35,4,annoyed,I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat itu p,15,That's too bad. Our janitor is very friendly.,3|3|4_5|5|5,
hit:17_conv:35,5,annoyed,I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat itu p,24,she comes in my office smelling like smoke trying to chat it up rather than do her job. ,3|3|4_5|5|5,
hit:18_conv:36,1,guilty,I broke a statuette offered by grandmother to my sister.,7,Hi_comma_ I broke a statuette offered by grandmother to my sister. It was a very important object for my sister.,1|3|4_3|4|4,<HI>
hit:18_conv:36,2,guilty,I broke a statuette offered by grandmother to my sister.,25,Is it not better you replace it with same type of statuette_comma_at a grocery store?,1|3|4_3|4|4,
hit:18_conv:36,3,guilty,I broke a statuette offered by grandmother to my sister.,7,No_comma_ it is not possible. It is old statuette given by the mother of my grandmother.,1|3|4_3|4|4,
hit:18_conv:36,4,guilty,I broke a statuette offered by grandmother to my sister.,25,The mother of your grand mother _comma_that means your great grand mother ! Well you can search through her archives,1|3|4_3|4|4,
hit:18_conv:37,1,furious,I ordered for French fries _comma_bit was served burger_comma_that pissed me off!,25,I could not tolerate the waiters insensitivity_comma_that's poor service indeed!,3|4|4_1|3|4,
hit:18_conv:37,2,furious,I ordered for French fries _comma_bit was served burger_comma_that pissed me off!,7,What happened?,3|4|4_1|3|4,
hit:18_conv:37,3,furious,I ordered for French fries _comma_bit was served burger_comma_that pissed me off!,25,Imagine _comma_I requested a French fries _comma_but was served burger instead!,3|4|4_1|3|4,
hit:18_conv:37,4,furious,I ordered for French fries _comma_bit was served burger_comma_that pissed me off!,7,It is very bad service. What did you do? Did you complain to the manager?,3|4|4_1|3|4,
hit:19_conv:39,1,guilty,There was a situation where I might of hurt my freinds feelings_comma_ I ate from my friends fridge and he had no more food left that day. He had to go to bed with no food. Hungry.,18,I left his house_comma_ filled up with his food and disgust. I left his fridge completely empty and feel guilth,4|4|5_3|5|2,
hit:19_conv:39,2,guilty,There was a situation where I might of hurt my freinds feelings_comma_ I ate from my friends fridge and he had no more food left that day. He had to go to bed with no food. Hungry.,26,That would be hard to do and take courage. ,4|4|5_3|5|2,
hit:19_conv:39,3,guilty,There was a situation where I might of hurt my freinds feelings_comma_ I ate from my friends fridge and he had no more food left that day. He had to go to bed with no food. Hungry.,18,Thanks man_comma_ at the heat of the moment I ate due to my flashbacks I was traumised.,4|4|5_3|5|2,
hit:19_conv:39,4,guilty,There was a situation where I might of hurt my freinds feelings_comma_ I ate from my friends fridge and he had no more food left that day. He had to go to bed with no food. Hungry.,26,I could see that happening but sounds like you were super brave.,4|4|5_3|5|2,
hit:20_conv:40,1,terrified,I was just on vacation in Biloxi. While hanging out on the balcony_comma_ I dropped some chips and then the balcony was swarmed by seagulls.,27,Hi I was recently on vacation and frightened half to death.,4|5|5_5|5|5,<HI>
hit:20_conv:40,2,terrified,I was just on vacation in Biloxi. While hanging out on the balcony_comma_ I dropped some chips and then the balcony was swarmed by seagulls.,9,Oh_comma_ my_comma_ what happened?,4|5|5_5|5|5,
